KIT;KIT2;Poste;Fileiras;Graus;Região;Módulo;Módulos;Qtd;Produto;Custo Unit;Custo Total;Custo/Mód;Preço S/ Impostos;TABELA PREÇO;Majorado;Tabela 18%;Tabela 7%;PREÇO DA MESA /MÓDULO
SOLO 1 FILEIRA 10 GRAUS REGIAO 1 1134;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;13;EFSALKITPTM2;109.55;1424.13;35.6;58.37;71.33;79.26;80.23;69.69;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;2;SL002C200X000BRT;30.7;61.4;1.53;2.52;3.08;3.42;3.46;3.0;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;22;SL002C407X000BRT;62.47;1374.34;34.36;56.33;68.84;76.49;77.42;67.25;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;22;EFSALJUNCAO400;3.91;85.95;2.15;3.52;4.31;4.78;4.84;4.21;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;13;EFSALKITTRAV02;17.07;221.91;5.55;9.09;11.11;12.35;12.5;10.86;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;78;PSGRAMPINTSMART2;0.7;54.76;1.37;2.24;2.74;3.05;3.08;2.68;161.66000000000003
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1134;40;4;SOLOGRAMPTERM1;1.25;5.01;0.13;0.21;0.25;0.28;0.28;0.25;161.66000000000003
SOLO 1 FILEIRA 10 GRAUS REGIAO 1 1303;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;14;EFSALKITPTM2;109.55;1533.68;38.34;62.86;76.82;85.35;86.4;75.05;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;2;SL002C407X000BRT;62.47;124.94;3.12;5.12;6.26;6.95;7.04;6.11;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;28;SL002C350X000BRT;53.72;1504.2;37.6;61.65;75.34;83.71;84.74;73.61;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;28;EFSALJUNCAO400;3.91;109.39;2.73;4.48;5.48;6.09;6.16;5.35;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;14;EFSALKITTRAV03;16.44;230.14;5.75;9.43;11.53;12.81;12.96;11.26;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;78;PSGRAMPINTSMART2;0.7;54.76;1.37;2.24;2.74;3.05;3.08;2.68;178.42000000000002
;SOLO 1 FILEIRA 10 GRAUS REGIAO 1 ;Monoposte;1;10;1;1303;40;4;SOLOGRAMPTERM1;1.25;5.01;0.13;0.21;0.25;0.28;0.28;0.25;178.42000000000002
SOLO 1 FILEIRA 15 GRAUS REGIAO 1 1134;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;14;EFSALKITPTM2;109.55;1533.68;38.34;62.86;76.82;85.35;86.4;75.05;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;2;SL002C200X000BRT;30.7;61.4;1.53;2.52;3.08;3.42;3.46;3.0;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;22;SL002C407X000BRT;62.47;1374.34;34.36;56.33;68.84;76.49;77.42;67.25;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;22;EFSALJUNCAO400;3.91;85.95;2.15;3.52;4.31;4.78;4.84;4.21;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;14;EFSALKITTRAV03;16.44;230.14;5.75;9.43;11.53;12.81;12.96;11.26;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;78;PSGRAMPINTSMART2;0.7;54.76;1.37;2.24;2.74;3.05;3.08;2.68;167.57000000000002
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1134;40;4;SOLOGRAMPTERM1;1.25;5.01;0.13;0.21;0.25;0.28;0.28;0.25;167.57000000000002
SOLO 1 FILEIRA 15 GRAUS REGIAO 1 1303;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;16;EFSALKITPTM2;109.55;1752.78;43.82;71.84;87.79;97.55;98.74;85.77;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;2;SL002C407X000BRT;62.47;124.94;3.12;5.12;6.26;6.95;7.04;6.11;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;28;SL002C350X000BRT;53.72;1504.2;37.6;61.65;75.34;83.71;84.74;73.61;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;28;EFSALJUNCAO400;3.91;109.39;2.73;4.48;5.48;6.09;6.16;5.35;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;16;EFSALKITTRAV03;16.44;263.02;6.58;10.78;13.17;14.64;14.82;12.87;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;78;PSGRAMPINTSMART2;0.7;54.76;1.37;2.24;2.74;3.05;3.08;2.68;191.03
;SOLO 1 FILEIRA 15 GRAUS REGIAO 1 ;Monoposte;1;15;1;1303;40;4;SOLOGRAMPTERM1;1.25;5.01;0.13;0.21;0.25;0.28;0.28;0.25;191.03
SOLO 1 FILEIRA 15 GRAUS REGIAO 2 1134;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;16;EFSALKITPTM2;109.55;1752.78;43.82;71.84;87.79;97.55;98.74;85.77;179.93
;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;2;SL002C200X000BRT;30.7;61.4;1.53;2.52;3.08;3.42;3.46;3.0;179.93
;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;22;SL002C407X000BRT;62.47;1374.34;34.36;56.33;68.84;76.49;77.42;67.25;179.93
;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;22;EFSALJUNCAO400;3.91;85.95;2.15;3.52;4.31;4.78;4.84;4.21;179.93
;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;16;EFSALKITTRAV03;16.44;263.02;6.58;10.78;13.17;14.64;14.82;12.87;179.93
;SOLO 1 FILEIRA 15 GRAUS REGIAO 2 ;Monoposte;1;15;2;1134;40;78;PSGRAMPINTSMART2;0.7;54.76;1.37;2.24;2.74;3.05;3.08;2.68;179.93
